sRNA	plotname	value	regular 2.1	ultra-clean 1.1	regular 2.2	ultra-clean 2.1
alg	sRNA 1	mean	88.21247088	0	8	0
8030	sRNA 2	mean	15.01812625	0	47	0
8182	sRNA 3	mean	1119.30891	5	32	0
6848	sRNA 4	mean	4.38654218	0	5	0
3869	sRNA 5	mean	15.22895245	2	6	2
3378	sRNA 6	mean	9.01613438	15	41	21
alg	sRNA 1	sd	5.661696984	0	4	0
8030	sRNA 2	sd	17.47063818	0	26	0
8182	sRNA 3	sd	104.7136172	4	6	0
6848	sRNA 4	sd	5.069914173	0	6	0
3869	sRNA 5	sd	3.432292232	1	2	2
3378	sRNA 6	sd	2.719576206	4	16	8
